,Artist,Streams,Daily,As lead,Solo,As Feature
242,Jul,7229.0,5.457,5488.1,4435.9,1740.9
243,Wisin & Yandel,7223.1,4.615,4865.2,2780.3,2357.9
244,TWICE,7218.7,5.082,7169.2,7147.2,49.4
245,Bastille,7204.9,2.097,4779.8,4369.7,2425.0
246,NAV,7199.2,2.235,4688.3,1560.5,2510.9
247,Christina Aguilera,7198.6,3.334,4100.8,3110.3,3097.8
248,David Bowie,7194.3,3.15,5738.3,5610.9,1456.0
249,Tame Impala,7188.5,4.953,6680.7,6592.7,507.7
250,U2,7170.3,4.38,6760.2,6576.4,410.2
251,Foo Fighters,7159.9,4.235,7159.9,7153.5,0.0
252,Ninho,7105.3,4.437,4110.4,3162.0,2994.9
253,Kehlani,7086.7,2.09,3643.4,2456.7,3443.3
254,The Notorious B.I.G.,7083.9,3.624,5910.2,4317.2,1173.7
255,The 1975,7059.6,3.492,6855.5,6834.9,204.2
256,Elvis Presley,7050.1,3.548,7012.0,6387.6,38.1
257,Troye Sivan,7016.8,4.221,4812.2,3959.8,2204.6
258,Jhené Aiko,6985.6,3.457,3717.5,1935.5,3268.0
259,blink-182,6977.5,5.33,6875.3,6841.8,102.2
260,System Of A Down,6958.6,4.715,6957.8,6946.4,0.8
261,The Killers,6910.6,3.218,6910.1,6760.8,0.5
262,ABBA,6899.9,4.581,6899.9,6899.9,0.0
263,Dalex,6861.4,2.387,3164.2,388.8,3697.2
264,Paulo Londra,6856.4,2.761,5439.8,4401.8,1416.6
265,Tove Lo,6723.9,2.065,4199.5,3080.4,2524.4
266,Led Zeppelin,6698.8,3.204,6698.8,6698.8,0.0
267,6ix9ine,6695.3,1.438,5400.2,1859.1,1295.1
268,T-Pain,6673.9,3.076,2825.8,491.2,3848.0
269,Paramore,6636.7,4.047,6636.7,6624.5,0.0
270,Rita Ora,6609.9,1.686,3355.4,2533.3,3254.6
271,Slipknot,6553.2,4.029,6553.2,6553.2,0.0
272,Kesha,6548.5,2.862,4562.1,4123.5,1986.4
273,PARTYNEXTDOOR,6538.5,4.061,4010.3,2376.5,2528.2
